top family,p0 app,p0 time,p1 app num,p1 time,diff rate,delete api,common api,diff frequency api(abs >= 0.2),add api
airpush,845,201201-201301,1111,201301-201307,0.540357925,1795,3391,290,874
smsreg,408,201207-201404,531,201404-201501,0.577974871,1024,3573,815,1289
fakeinst,181,201201-201204,441,201204-201210,5.165898618,71,42,104,946
gappusin,192,201202-201308,236,201308-201311,0.596693496,1748,2440,409,586
youmi,241,201202-201302,239,201302-201311,0.743853097,712,1771,730,948
dowgin,489,201304-201401,420,201401-201404,0.582173327,1086,2840,528,979
adwo,814,201202-201302,110,201302-201405,0.790193548,1465,1626,784,813
kuguo,104,201202-201302,229,201302-201311,0.710013351,1267,2090,388,1004
secapk,83,201309-201403,74,201403-201406,0.094594595,0,70,4,3
droidkungfu,183,201201-201204,234,201204-201207,0.351003294,348,2648,343,481
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,diff rate(diff frequency abs >= 0.2),diff rate(diff frequency rate >= 20%),,,,,,,
airpush,0.540357925,1.049488678,,,,,,,
smsreg,0.577974871,1.131005174,,,,,,,
fakeinst,5.165898618,5.30875576,,,,,,,
gappusin,0.596693496,0.949097237,,,,,,,
youmi,0.743853097,1.14379085,,,,,,,
dowgin,0.582173327,1.074764257,,,,,,,
adwo,0.790193548,1.193290323,,,,,,,
kuguo,0.710013351,1.100667557,,,,,,,
secapk,0.094594595,0.297297297,,,,,,,
droidkungfu,0.351003294,0.883498053,,,,,,,
,,,,,,,,,
,,,,,,,,,
families,diff rate between common apis,,,,,,,,
appquanta,0.04166667,,,,,,,,
utchi,0.04796163,,,,,,,,
shedun,0.25,,,,,,,,
boxer,0.31891892,,,,,,,,
secapk,0.43786982,,,,,,,,
skymobi,0.68187628,,,,,,,,
fusob,0.71124031,,,,,,,,
smforw,0.71703297,,,,,,,,
kuguo,0.72783559,,,,,,,,
smsreg,0.74781924,,,,,,,,
fakeinst,0.75102599,,,,,,,,
wapsx,0.75702602,,,,,,,,
dowgin,0.76150131,,,,,,,,
smsspy,0.78593429,,,,,,,,
airpush,0.78936532,,,,,,,,
artemis,0.80265461,,,,,,,,
plankton,0.80536659,,,,,,,,
waps,0.80846175,,,,,,,,
youmi,0.82313913,,,,,,,,
lotoor,0.82607034,,,,,,,,
smspay,0.84884919,,,,,,,,
hiddad,0.86697506,,,,,,,,
mecor,0.86890951,,,,,,,,
hiddenads,0.88856254,,,,,,,,
hiddenapp,0.89626556,,,,,,,,
opfake,0.92822967,,,,,,,,
adwo,0.93908629,,,,,,,,
admogo,0.95552404,,,,,,,,
triada,0.96708,,,,,,,,
dnotua,0.98756418,,,,,,,,
